<<<<<<< HEAD
"0spam.fusionzero.com"
"0spam-killlist.fusionzero.com"
"combined.abuse.ch"
"drone.abuse.ch"
"spam.abuse.ch"
"httpbl.abuse.ch"
"uribl.zeustracker.abuse.ch"
"ipbl.zeustracker.abuse.ch"
"rbl.abuse.ro"
"netblockbl.spamgrouper.com"
=======
"0spam.fusionzero.com"
"0spam-killlist.fusionzero.com"
"combined.abuse.ch"
"drone.abuse.ch"
"spam.abuse.ch"
"httpbl.abuse.ch"
"uribl.zeustracker.abuse.ch"
"ipbl.zeustracker.abuse.ch"
"rbl.abuse.ro"
"uribl.abuse.ro"
"dnsbl.ahbl.org"
"ircbl.ahbl.org"
"rhsbl.ahbl.org"
"all.s5h.net"
"spam.dnsbl.anonmails.de"
"dnsbl.anticaptcha.net"
"orvedb.aupads.org"
"rsbl.aupads.org"
"l1.apews.org"
"l2.apews.org"
"aspews.ext.sorbs.net"
"ips.backscatterer.org"
"b.barracudacentral.org"
"bb.barracudacentral.org"
"list.bbfh.org"
"l1.bbfh.ext.sorbs.net"
"l2.bbfh.ext.sorbs.net"
"l3.bbfh.ext.sorbs.net"
"l4.bbfh.ext.sorbs.net"
"bbm.2ch.net"
"niku.2ch.net"
"bbx.2ch.net"
"list.blogspambl.com"
"bsb.empty.us"
"bsb.empty.us"
"bsb.spamlookup.net"
"bsb.spamlookup.net"
"dnsbl.burnt-tech.com"
"blacklist.sci.kun.nl"
"cbl.anti-spam.org.cn"
"cblplus.anti-spam.org.cn"
"cblless.anti-spam.org.cn"
"cdl.anti-spam.org.cn"
"cbl.abuseat.org"
"rbl.choon.net"
"bogons.cymru.com"
"v4.fullbogons.cymru.com"
"tor.dan.me.uk"
"torexit.dan.me.uk"
"ex.dnsbl.org"
"in.dnsbl.org"
"rbl.dns-servicios.com"
"dnsbl.ipocalypse.net"
"dnsbl.mags.net"
"dnsbl.othello.ch"
"dnsbl.rv-soft.info"
"vote.drbl.caravan.ru"
"vote.drbldf.dsbl.ru"
"vote.drbl.gremlin.ru"
"work.drbl.caravan.ru"
"work.drbldf.dsbl.ru"
"work.drbl.gremlin.ru"
"dnsbl.dronebl.org"
"rbl.efnet.org"
"rbl.efnetrbl.org"
"tor.efnet.org"
"bl.emailbasura.org"
"rbl.eznettools.com"
"rbl.fasthosts.co.uk"
"fnrbl.fast.net"
"forbidden.icm.edu.pl"
"hil.habeas.com"
"lookup.dnsbl.iip.lu"
"spamrbl.imp.ch"
"wormrbl.imp.ch"
"dnsbl.inps.de"
"intercept.datapacket.net"
"rbl.interserver.net"
"any.dnsl.ipquery.org"
"backscat.dnsl.ipquery.org"
"netblock.dnsl.ipquery.org"
"relay.dnsl.ipquery.org"
"single.dnsl.ipquery.org"
"mail-abuse.blacklist.jippg.org"
"dnsbl.justspam.org"
"dnsbl.kempt.net"
"spamlist.or.kr"
"relays.bl.kundenserver.de"
"spamguard.leadmon.net"
"dnsbl.madavi.de"
"bl.mailspike.net"
"z.mailspike.net"
"cidr.bl.mcafee.com"
"rbl.megarbl.net"
"combined.rbl.msrbl.net"
"images.rbl.msrbl.net"
"phishing.rbl.msrbl.net"
"spam.rbl.msrbl.net"
"virus.rbl.msrbl.net"
"web.rbl.msrbl.net"
"relays.nether.net"
"unsure.nether.net"
"ix.dnsbl.manitu.net"
"bhnc.njabl.org"
"combined.njabl.org"
"no-more-funn.moensted.dk"
"nospam.ant.pl"
"dyn.nszones.com"
"sbl.nszones.com"
"bl.nszones.com"
"ubl.nszones.com"
"dnsbl.openresolvers.org"
"rbl.orbitrbl.com"
"netblock.pedantic.org"
"spam.pedantic.org"
"pofon.foobar.hu"
"rbl.polarcomm.net"
"dnsbl.proxybl.org"
"psbl.surriel.com"
"all.rbl.jp"
"dyndns.rbl.jp"
"short.rbl.jp"
"url.rbl.jp"
"virus.rbl.jp"
"rbl.schulte.org"
"access.redhawk.org"
"dnsbl.rizon.net"
"dynip.rothen.com"
"dul.ru"
"dnsbl.rymsho.ru"
"rhsbl.rymsho.ru"
"tor.dnsbl.sectoor.de"
"exitnodes.tor.dnsbl.sectoor.de"
"bl.score.senderscore.com"
"bl.shlink.org"
"dyn.shlink.org"
"rhsbl.shlink.org"
"dnsbl.solid.net"
"dnsbl.sorbs.net"
"problems.dnsbl.sorbs.net"
"proxies.dnsbl.sorbs.net"
"relays.dnsbl.sorbs.net"
"safe.dnsbl.sorbs.net"
"nomail.rhsbl.sorbs.net"
"badconf.rhsbl.sorbs.net"
"dul.dnsbl.sorbs.net"
"zombie.dnsbl.sorbs.net"
"block.dnsbl.sorbs.net"
"escalations.dnsbl.sorbs.net"
"http.dnsbl.sorbs.net"
"misc.dnsbl.sorbs.net"
"smtp.dnsbl.sorbs.net"
"socks.dnsbl.sorbs.net"
"rhsbl.sorbs.net"
"spam.dnsbl.sorbs.net"
"recent.spam.dnsbl.sorbs.net"
"new.spam.dnsbl.sorbs.net"
"old.spam.dnsbl.sorbs.net"
"web.dnsbl.sorbs.net"
"korea.services.net"
"backscatter.spameatingmonkey.net"
"badnets.spameatingmonkey.net"
"bl.spameatingmonkey.net"
"fresh.spameatingmonkey.net"
"fresh10.spameatingmonkey.net"
"fresh15.spameatingmonkey.net"
"netbl.spameatingmonkey.net"
"uribl.spameatingmonkey.net"
"urired.spameatingmonkey.net"
"singlebl.spamgrouper.com"
"netblockbl.spamgrouper.com"
"bl.spamcannibal.org"
"dnsbl.spam-champuru.livedoor.com"
"bl.spamcop.net"
"dbl.spamhaus.org"
"pbl.spamhaus.org"
"sbl.spamhaus.org"
"sbl-xbl.spamhaus.org"
"xbl.spamhaus.org"
"zen.spamhaus.org"
"feb.spamlab.com"
"rbl.spamlab.com"
"all.spamrats.com"
"dyna.spamrats.com"
"noptr.spamrats.com"
"spam.spamrats.com"
"spamsources.fabel.dk"
"badhost.stopspam.org"
"block.stopspam.org"
"dnsbl.stopspam.org"
"dul.pacifier.net"
"multi.surbl.org"
"multi.surbl.org"
"xs.surbl.org"
"xs.surbl.org"
"dnsbl.swiftbl.org"
"dnsrbl.swinog.ch"
"uribl.swinog.ch"
"bl.technovision.dk"
"st.technovision.dk"
"dob.sibl.support-intelligence.net"
"opm.tornevall.org"
"spamtrap.trblspam.com"
"rbl2.triumf.ca"
"truncate.gbudb.net"
"dnsbl-0.uceprotect.net"
"dnsbl-1.uceprotect.net"
"dnsbl-2.uceprotect.net"
"dnsbl-3.uceprotect.net"
"ubl.unsubscore.com"
"black.uribl.com"
"grey.uribl.com"
"multi.uribl.com"
"red.uribl.com"
"free.v4bl.org	"
"ip.v4bl.org"
"virbl.dnsbl.bit.nl"
"dnsbl.webequipped.com"
"blacklist.woody.ch"
"uri.blacklist.woody.ch"
"db.wpbl.info"
"bl.blocklist.de"
"dnsbl.zapbl.net"
"rhsbl.zapbl.net"
"zebl.zoneedit.com"
"ban.zebl.zoneedit.com"
>>>>>>> 08eddba4085d21f9c5eb236c4e03a2992bdfe6d9
